Library,Scope,Library Version,File Path,Vulnerabilities,License,Language,Recommended upgrade,Vulnerability List
org.autogen:mp-01101111,-,1.0.0,,,,,,[]
org.springframework.boot:spring-boot-starter,-,2.6.1,,,,,,[]
org.springframework.boot:spring-boot,-,2.6.1,,,,,,[]
org.springframework:spring-context,-,5.3.13,,,,,,[]
org.springframework:spring-aop,-,5.3.13,,,,,,[]
org.springframework:spring-beans,-,5.3.13,,,,,,[]
org.springframework:spring-expression,-,5.3.13,,,,,,[]
org.springframework.boot:spring-boot-autoconfigure,-,2.6.1,,,,,,[]
org.springframework.boot:spring-boot-starter-logging,-,2.6.1,,,,,,[]
ch.qos.logback:logback-classic,-,1.2.7,,,,,,[]
ch.qos.logback:logback-core,-,1.2.7,,,,,,[]
org.apache.logging.log4j:log4j-to-slf4j,-,2.14.1,,,,,,[]
jakarta.annotation:jakarta.annotation-api,-,1.3.5,,,,,,[]
org.springframework:spring-core,-,5.3.13,,,,,,[]
org.springframework:spring-jcl,-,5.3.13,,,,,,[]
org.yaml:snakeyaml,-,1.29,,,,,,[]
org.springframework.boot:spring-boot-starter-log4j2,-,2.6.1,,,,,,[]
org.apache.logging.log4j:log4j-slf4j-impl,-,2.14.1,,,,,,[]
org.slf4j:slf4j-api,-,1.7.25,,,,,,[]
org.apache.logging.log4j:log4j-api,-,2.14.1,,,,,,[]
org.apache.logging.log4j:log4j-core,-,2.14.1,,,,,,[]
org.slf4j:jul-to-slf4j,-,1.7.32,,,,,,[]
com.alibaba.nacos:nacos-client,-,2.0.3,,,,,,[]
commons-codec:commons-codec,-,1.11,,,,,,[]
com.fasterxml.jackson.core:jackson-databind,-,2.12.2,,,,,,[]
com.fasterxml.jackson.core:jackson-annotations,-,2.12.2,,,,,,[]
org.apache.httpcomponents:httpasyncclient,-,4.1.3,,,,,,[]
org.apache.httpcomponents:httpcore,-,4.4.6,,,,,,[]
org.apache.httpcomponents:httpcore-nio,-,4.4.6,,,,,,[]
org.apache.httpcomponents:httpclient,-,4.5.3,,,,,,[]
commons-logging:commons-logging,-,1.2,,,,,,[]
org.reflections:reflections,-,0.9.11,,,,,,[]
com.google.guava:guava,-,20.0,,,,,,[]
org.javassist:javassist,-,3.21.0-GA,,,,,,[]
io.prometheus:simpleclient,-,0.5.0,,,,,,[]
com.fasterxml.jackson.core:jackson-core,-,2.13.0,,,,,,[]
com.alibaba.nacos:nacos-common,-,2.0.3,,,,,,[]
com.alibaba.nacos:nacos-api,-,2.0.3,,,,,,[]
com.google.guava:guava,-,30.1-jre,,,,,,[]
com.google.guava:failureaccess,-,1.0.1,,,,,,[]
com.google.j2objc:j2objc-annotations,-,1.3,,,,,,[]
io.netty:netty-tcnative-boringssl-static,-,2.0.25.Final,,,,,,[]
io.netty:netty-transport-native-epoll,-,4.1.38.Final,,,,,,[]
io.netty:netty-codec-http2,-,4.1.38.Final,,,,,,[]
io.netty:netty-handler-proxy,-,4.1.38.Final,,,,,,[]
io.netty:netty-transport-native-unix-common,-,4.1.38.Final,,,,,,[]
io.netty:netty-codec-http,-,4.1.38.Final,,,,,,[]
io.netty:netty-handler,-,4.1.38.Final,,,,,,[]
io.netty:netty-codec-socks,-,4.1.38.Final,,,,,,[]
io.netty:netty-codec,-,4.1.38.Final,,,,,,[]
io.netty:netty-transport,-,4.1.38.Final,,,,,,[]
io.netty:netty-buffer,-,4.1.38.Final,,,,,,[]
io.netty:netty-resolver,-,4.1.38.Final,,,,,,[]
io.netty:netty-common,-,4.1.38.Final,,,,,,[]
org.jctools:jctools-core,-,2.1.1,,,,,,[]
com.google.code.gson:gson,-,2.8.6,,,,,,[]
com.google.errorprone:error_prone_annotations,-,2.3.2,,,,,,[]
com.google.protobuf:protobuf-java,-,3.8.0,,,,,,[]
